alaika,pala,asmenot,rkkot,filter_$
9,93,21396,71500,0
11,79,5196,113000,0
1,62,14040,85500,1
0,64,5892,80000,0
6,75,10800,132000,0
30,80,4800,68000,0
6,55,10512,110500,0
10,50,4920,34500,0
8,99,9780,117500,0
2,119,6780,96000,0
15,120,7800,153000,0
18,60,13080,59500,0
5,25,5796,29000,1
8,74,5520,107000,1
1,175,8052,130500,0
16,119,3060,101000,0
42,80,3600,43500,1
35,120,1200,130000,0
0,69,19200,38000,1
4,76,5400,140000,0
5,140,600,106500,1
19,190,12000,171500,0
2,80,4800,110000,1
5,48,12000,96500,1
12,119,8424,148500,1
0,120,0,128500,0
10,63,4380,82000,1
58,65,8508,64500,1
15,110,9228,121500,1
25,120,5172,128500,0
37,120,4740,56000,0
1,80,1200,64000,1
22,89,4356,130500,0
4,18,4764,17500,0
41,104,5796,86000,0
12,40,3804,118000,0
38,160,6600,145000,0
25,200,3516,310000,1
10,78,10080,91000,0
7,42,1008,74000,0
3,40,5400,42500,1
2,31,7980,62500,0
9,36,4560,59500,0
43,103,10356,74000,0
12,63,4560,127500,1
0,237,22200,152500,0
0,33,7800,37000,1
5,60,7200,70500,1
14,65,11136,46000,0
3,61,12084,83000,1
17,120,9540,186500,0
3,78,16272,129000,1
1,65,6492,99000,0
2,63,10920,105500,0
0,77,7800,101000,0
13,70,6000,129000,1
3,56,14700,62500,1
0,84,15840,42000,1
1,23,6156,22000,1
21,20,4800,20000,0
16,68,8400,137000,1
29,80,19200,70000,1
11,67,7800,42000,1
2,58,5004,48500,1
8,31,7200,35000,1
0,12,4440,8500,0
25,46,4200,137000,1
10,80,9480,146500,1
2,87,5040,107000,1
2,81,6048,140500,0
33,37,6840,25000,0
60,105,19200,139000,0
1,102,5280,112000,1
10,115,5700,148000,0
0,41,6000,74000,1
0,82,5664,92000,0
6,67,6600,110000,0
8,48,11304,55500,1
15,58,12960,69500,1
37,102,2244,130500,1
12,80,9360,174000,1
13,77,8400,139500,0
12,194,9720,140500,0
2,63,8280,36000,0
5,70,6360,109000,1
19,56,3996,118000,0
20,85,5760,89500,0
7,57,2580,34500,1
40,35,1608,78000,0
55,26,960,63000,1
13,61,5124,56500,0
9,58,6900,129500,1
3,51,3000,106000,0
2,31,3600,62000,0
4,37,3012,74500,0
31,107,6600,120000,0
3,100,6960,215500,1
2,50,3600,65500,1
5,74,16440,109500,1
14,62,12000,118500,1
29,52,4992,48000,0
0,18,12000,69500,1
15,79,14916,101000,0
15,79,14400,104000,0
15,116,7308,145500,0
27,53,7092,128500,1
15,110,7272,58500,1
6,40,4008,92000,1
6,24,5400,28000,1
3,41,7440,59500,0
12,107,8808,112000,0
14,165,9360,92000,0
5,93,18000,109000,1
32,43,4236,80000,0
2,70,7968,129000,1
3,100,9360,79000,0
3,79,14340,108000,1
2,79,5712,129000,0
12,90,9240,166000,0
4,61,4800,150500,1
6,60,10056,47000,0
4,100,6120,134500,1
3,61,15936,67000,1
8,96,8400,138500,1
24,100,4200,109500,1
39,70,6720,46500,0
50,60,2520,27000,1
2,30,6600,99000,1
6,50,11160,110500,0
2,55,1320,131500,1
0,50,4140,54500,0
47,30,3240,27500,1
32,55,5244,112500,1
11,200,5100,93000,0
0,75,19200,87000,1
31,140,9240,147500,1
30,26,4440,57500,1
1,76,6600,100500,0
30,56,4560,84000,1
27,100,6576,176000,0
2,77,0,53000,1
2,50,6000,9500,0
25,130,11688,29000,0
20,100,2100,69500,1
20,120,2700,117000,1
0,61,13200,29000,0
22,75,4356,69000,0
48,80,1248,89500,1
56,55,2088,21500,0
3,200,2052,229000,0
10,77,5160,88500,0
35,10,600,28500,0
65,80,4200,65000,0
40,120,2940,85000,0
18,150,4284,137500,0
33,66,2856,75500,1
8,118,5184,118000,1
29,89,4392,100000,0
8,76,16224,91000,0
2,40,4500,39000,1
1,15,0,8500,0
16,80,6600,132000,0
2,71,4800,66000,0
7,85,3600,167500,0
1,57,16440,76500,0
4,43,6348,58000,1
61,93,1296,107500,1
9,120,8040,147000,0
5,200,6720,193000,1
0,57,13884,78000,1
60,100,3588,30000,0
23,130,0,36000,0
53,70,468,124500,1
44,50,4800,98000,0
40,140,1332,52000,0
39,100,540,110000,0
68,70,3600,42500,0
9,51,13200,143000,0
11,110,12000,180500,1
12,121,31500,160500,1
15,240,3000,310000,0
20,80,12000,111500,0
1,140,14400,114500,1
1,51,18240,82000,1
58,98,3804,82500,1
20,78,5184,95500,1
33,250,13440,137500,0
52,96,4332,87000,0
4,68,4800,90000,0
61,90,2100,92000,0
27,23,1440,23500,0
6,76,18000,76000,1
19,75,6648,114000,1
15,110,3696,84000,0
19,31,4452,31000,1
14,100,8112,136000,1
18,78,12480,63500,0
31,35,1200,65000,1
17,103,11652,118500,1
0,74,10800,63500,0
30,80,2424,79500,1
13,64,6816,45500,1
34,120,5640,114000,0
3,85,3732,88500,0
39,70,3312,62500,0
2,115,6024,144000,0
2,57,12372,58500,0
9,70,6000,76500,0
7,120,5196,136000,0
5,90,6444,170500,0
35,115,6000,95500,0
13,85,9000,73000,0
2,76,8424,176500,1
4,75,4800,112000,1
16,43,4032,73000,1
23,75,9600,143000,1
1,38,7200,103500,0
3,76,10956,142500,0
16,107,9936,158000,0
2,77,7800,127000,1
1,83,9180,96500,0
1,78,7200,108000,0
2,78,20520,149500,0
6,48,3588,38500,1
25,50,1788,121000,1
19,134,4992,114000,0
20,174,2796,93500,1
43,63,4200,38000,1
4,100,4800,84000,0
17,74,7116,99000,1
2,97,4320,120500,0
4,76,5160,99500,1
15,94,6840,116000,1
5,35,5952,14000,0
2,240,4800,138500,0
17,120,4380,190500,0
0,79,21600,107500,0
7,60,11472,53000,0
5,84,7200,225000,1
3,31,7584,34000,1
21,100,16800,132500,1
26,80,14868,154000,1
11,237,6000,275500,0
55,60,4548,101000,0
7,100,8400,129500,1
12,71,11376,147500,0
70,60,396,83000,1
6,250,11700,78000,0
1,79,7200,58000,1
2,60,4800,11500,0
2,120,4860,70500,0
6,63,2640,66000,0
3,55,11640,60000,0
6,34,5256,57000,0
22,76,16140,106500,1
16,128,6756,127500,0
7,100,3660,44500,1
25,90,1560,120000,0
37,84,1116,92500,0
9,110,8040,99000,0
13,120,6504,141000,0
30,79,3480,101000,1
8,156,6504,118000,0
10,180,8400,129000,1
55,120,6600,155500,1
3,61,6324,50500,0
3,61,11904,56000,0
68,86,2004,50000,1
38,84,4800,30500,0
56,85,6000,78000,1
7,120,10704,144500,0
3,120,5856,125500,0
2,110,7080,122000,1
0,44,8532,18000,1
0,59,13632,68000,1
4,13,1740,34500,0
2,33,4224,24500,0
28,75,276,89000,0
6,57,10200,102500,1
56,100,2100,56500,1
11,74,13056,85000,1
71,40,3216,21000,1
23,100,6396,242500,1
14,100,5292,145000,1
4,69,1320,109500,1
75,50,3960,27500,0
7,176,5472,92500,0
17,52,6000,65500,0
10,50,0,131000,0
44,55,5040,47000,1
6,52,12648,73000,1
55,46,4440,76000,1
45,63,8400,96500,0
38,61,5856,96000,1
15,49,6600,47000,0
29,35,4560,45500,0
65,46,7944,64500,0
30,85,4800,66500,0
5,57,13176,84500,1
17,58,5520,79000,1
3,76,12516,101000,0
7,130,5940,113500,0
22,85,4200,127500,0
13,136,6000,71500,0
18,80,12000,126500,0
25,52,6960,113500,0
31,70,6840,61500,0
17,81,6960,63000,1
32,82,4980,61500,1
18,100,5160,106500,1
22,91,8004,64000,0
1,63,12684,94000,0
15,68,7800,151500,1
19,86,13704,115500,1
1,105,5400,107000,0
6,70,7200,91000,0
32,130,6708,54000,1
5,115,6600,115000,0
4,30,7200,45500,0
1,64,1284,122500,1
2,63,16968,93000,1
32,42,2160,32000,1
21,75,14400,85500,1
9,35,9552,34000,0
0,59,4644,116500,1
11,49,1800,73000,0
7,116,7092,104000,1
6,100,6840,57000,0
1,117,9000,108500,1
24,115,3600,141500,0
23,120,6240,100500,0
32,86,5820,154000,0
34,72,4800,62000,0
62,144,1860,117000,0
5,35,7500,36500,1
4,110,3120,77000,0
6,105,6840,80500,0
48,77,5340,81000,0
34,60,1320,47000,0
6,200,3600,95500,0
26,28,3036,34000,0
0,20,3600,120500,1
62,79,5832,74500,0
3,55,12000,110500,1
42,82,6888,65500,0
25,84,6600,125500,0
27,64,12360,94500,0
1,12,5280,13500,1
1,72,22800,90500,1
0,22,7800,8500,0
4,38,9120,30500,1
1,64,14400,102000,0
19,84,8160,143500,0
0,33,3288,160000,1
1,105,24000,156500,1
9,55,5328,74500,0
1,82,4920,125000,1
3,100,6180,169000,1
4,80,20400,74500,1
14,79,7704,100000,1
5,105,19800,169500,1
12,75,5952,111500,0
5,75,7416,122000,0
5,54,6480,112500,1
2,71,6720,110500,0
1,35,8400,42000,0
11,130,6480,138500,0
19,120,9984,179000,0
6,56,10800,102000,1
0,72,6348,50500,0
0,35,6000,33000,0
1,20,6192,7500,0
5,120,4800,95000,0
26,70,5880,90000,1
3,62,15000,89500,1
25,61,6000,128000,0
6,72,4500,100500,0
11,70,6240,120000,0
2,61,6000,73500,0
6,70,15600,114000,1
6,220,11700,195000,1
60,95,6504,102000,0
1,62,12744,92500,0
42,240,24000,145500,0
22,64,8400,66500,1
2,24,6048,78000,1
34,150,2988,104000,0
17,130,4392,82500,1
36,150,1620,163000,1
65,80,3720,58500,0
2,22,6276,15000,0
50,60,240,24500,0
0,60,10272,42500,0
35,210,3684,96500,1
10,69,20040,88000,0
1,60,5844,12000,1
26,86,7800,95500,1
40,56,6000,139000,0
26,78,5712,67000,0
5,59,8532,59000,1
2,12,3720,7000,0
20,75,8652,177000,0
10,70,8760,109000,0
5,75,17376,88500,1
9,90,5736,131000,0
33,80,21720,83000,1
40,100,3600,60500,1
5,103,3000,106000,0
22,100,6360,67500,1
10,45,4680,95000,0
10,100,7368,154500,1
24,70,5748,65000,1
13,92,1020,55500,0
3,61,3240,98000,0
10,131,5160,181500,1
10,86,4440,138000,0
3,50,5976,95000,0
2,71,15072,111000,1
22,120,1200,181500,0
